Building custom linters...
Running custom linters (largefunc max-lines=60)...
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_normalize.go:30:6: normalizeBlankLines is 105 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_post_agent.go:14:20: collectArtifactPaths is 109 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_post_agent.go:174:20: generatePostAgentCollectionAndUpload is 95 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_runtime_setup.go:342:20: addCustomStepsWithRuntimeInsertion is 75 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_step_conversion.go:106:20: renderStepFromMap is 99 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_step_generation.go:174:20: generateSetupStepWithArtifactClientCondition is 110 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_step_lifecycle.go:58:20: generateCreateAwInfo is 180 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_step_lifecycle.go:241:20: generateOutputCollectionStep is 82 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/concurrency.go:240:6: buildConcurrencyGroupKeys is 106 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/copilot_engine_installation.go:112:25: GetInstallationSteps is 66 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/copilot_engine_tools.go:60:25: computeCopilotToolArguments is 209 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/copilot_logs.go:154:25: parseSessionJSONL is 144 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/copilot_logs.go:323:25: ParseLogMetrics is 180 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/copilot_logs.go:605:25: extractWireRequestOutputs is 80 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/create_agent_session.go:18:20: parseAgentSessionConfig is 63 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/create_code_scanning_alert.go:80:20: buildCodeScanningUploadJob is 97 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/create_discussion.go:32:20: parseCreateDiscussionsConfig is 78 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/create_pull_request.go:77:20: parseCreatePullRequestsConfig is 85 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:75:20: GenerateDependabotManifests is 102 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:257:20: generatePackageJSON is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:370:20: generateDependabotConfig is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:442:20: ReconcileManagedDependabotIgnores is 104 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/dependabot.go:753:20: generateRequirementsTxt is 78 lines long (limit: 60); consider breaking it up
